10;CIÊNCIA DA COMPUTAÇÃO
20;ENGENHARIA DE COMPUTAÇÃO
30;ENGENHARIA DE SOFTWARE10;CIÊNCIA DA COMPUTAÇÃO
20;ENGENHARIA DE COMPUTAÇÃO
30;ENGENHARIA DE SOFTWARE
10;CIÊNCIA DA COMPUTAÇÃO
20;ENGENHARIA DE COMPUTAÇÃO
30;ENGENHARIA DE SOFTWARE
10;CIÊNCIA DA COMPUTAÇÃO
20;ENGENHARIA DE COMPUTAÇÃO
30;ENGENHARIA DE SOFTWARE
10;CIÊNCIA DA COMPUTAÇÃO
20;ENGENHARIA DE COMPUTAÇÃO
30;ENGENHARIA DE SOFTWARE
10;CIÊNCIA DA COMPUTAÇÃO
20;ENGENHARIA DE COMPUTAÇÃO
30;ENGENHARIA DE SOFTWARE
10;CIÊNCIA DA COMPUTAÇÃO
20;ENGENHARIA DE COMPUTAÇÃO
30;ENGENHARIA DE SOFTWARE
10;CIÊNCIA DA COMPUTAÇÃO
20;ENGENHARIA DE COMPUTAÇÃO
30;ENGENHARIA DE SOFTWARE
10;CIÊNCIA DA COMPUTAÇÃO
20;ENGENHARIA DE COMPUTAÇÃO
30;ENGENHARIA DE SOFTWARE
10;CIÊNCIA DA COMPUTAÇÃO
20;ENGENHARIA DE COMPUTAÇÃO
30;ENGENHARIA DE SOFTWARE
10;CIÊNCIA DA COMPUTAÇÃO
20;ENGENHARIA DE COMPUTAÇÃO
30;ENGENHARIA DE SOFTWARE
